方程 = ax^2 + bx + cy + dxy + e 
数据量	输入维度	train_rmse	test_rmse	test_平均误差率		模型参数
45	树高CH 冠幅cw 	1.23662378108	1.22813050532	0.0552086867317		[array([ 0.07544579,  1.11537638,  6.11906452, -0.49212979]), -4.6352338204285033]
52	树高CH 冠幅cw 	1.23820689396	1.20316864173	0.0524307090741		[array([ 0.08003267,  1.06444338,  6.33985608, -0.50442313]), -5.0557199852630283]
5	面积CA 树高CH 	9.3995968735-15	3.37266445616	0.117887891269		[array([ 0.09466297,  1.50886856,  2.68105733, -0.34869588]), -0.32080368778063573]
10	面积CA 树高CH 	0.664721336579	2.27281592834	0.0920745743107		[array([ 0.03519046,  1.61946921,  1.50873143, -0.20353298]), 2.7164914487414968]
15	面积CA 树高CH 	0.916700485535	1.25636701325	0.0568009406107		[array([-0.03247544,  1.13395336, -0.03017428,  0.01239479]), 9.0538132744275863]
20	面积CA 树高CH 	0.873923511958	1.11439225594	0.0500893649473		[array([-0.02146871,  0.88082586,  0.28449864,  0.00093941]), 8.6625217475451102]
25	面积CA 树高CH 	0.985527784236	1.06119810103	0.0494240938024		[array([-0.00469911,  0.65442529,  0.58309355, -0.0227906 ]), 8.6239759074763569]
30	面积CA 树高CH 	1.08371777923	1.08781513449	0.0508292669073		[array([-0.01114365,  0.63311334,  0.47980652, -0.00509655]), 8.891836723930048]
35	面积CA 树高CH 	1.037651714	1.03853948801	0.0471739951664		[array([-0.01167806,  0.62431373,  0.42796863, -0.00139864]), 9.0653314281923958]
40	面积CA 树高CH 	1.0559504577	0.986213195362	0.0464448400272		[array([-0.0030195 ,  0.51463764,  0.58545563, -0.01564597]), 9.1070029366885628]
45	面积CA 树高CH 	1.01435932498	0.968814709397	0.044746686254		[array([-0.00255248,  0.56346822,  0.60222055, -0.02116012]), 8.8750933187835521]
52	面积CA 树高CH 	1.00756984211	0.952117426552	0.0421016402682		[array([-0.00524726,  0.60776067,  0.50345229, -0.01582244]), 9.0258080177087709]
5	树高CH 面积CA 	1.123466709e-14	4.07182694389	0.134220330988		[array([-0.37556999,  4.83272106,  0.39352836,  0.03681562]), -3.3727501949589538]
10	树高CH 面积CA 	0.634601805684	1.52985236169	0.0687589155593		[array([ 0.17650396, -1.20833075,  2.31311168, -0.19220127]), 8.7693574738624509]
15	树高CH 面积CA 	0.87316631576	1.97600719631	0.0804982561246		[array([ 0.32024734, -2.90043731,  2.21015303, -0.20209146]), 14.371849828120574]
20	树高CH 面积CA 	0.897585151277	1.17678859934	0.0578030453499		[array([ 0.07701387, -0.08364841,  0.9730186 , -0.0740851 ]), 9.468298080685841]
25	树高CH 面积CA 	0.983690329352	1.10862618883	0.054410203991		[array([ 0.05359255,  0.10034118,  0.81266293, -0.05548825]), 9.5607377418433224]
30	树高CH 面积CA 	1.03327243351	1.46892756172	0.060842182745		[array([ 0.17947825, -1.3356909 ,  1.24186067, -0.10636671]), 12.583744728615788]
35	树高CH 面积CA 	0.990510468068	1.25146558538	0.0528819583973		[array([ 0.1658554 , -1.32843464,  1.16455527, -0.09388502]), 13.025938005685953]
40	树高CH 面积CA 	1.04495406879	0.97825916576	0.0468719500977		[array([ 0.05320889,  0.01511857,  0.7482189 , -0.04864851]), 10.195168415948533]
45	树高CH 面积CA 	1.00806485242	0.947061266079	0.0445771985419		[array([ 0.03854254,  0.17263728,  0.71743169, -0.04431451]), 9.8456748479854141]
52	树高CH 面积CA 	1.00386359009	0.93033491235	0.042435626686		[array([ 0.04028221,  0.11980851,  0.73908016, -0.04462749]), 9.9164966366938856]

